sort,和名洋名,JIS慣用色名よみかた,JIS慣用色名,JIS系統色名,マンセル値,基本色彩語での分類,PCCS,WEBカラー値,R,G,B,C,M,Y,K,色彩検定
01_赤,洋名,bordeaux,ボルドー,ごく暗い赤,2.5R 2.5/3,02_赤,dkg2,461217,70,18,23,0,80,50,75,3級
01_赤,洋名,carmine,カーマイン,あざやかな赤,4R 4/14,02_赤,v2,C41A41,196,26,65,0,100,65,10,3級
01_赤,洋名,marron,マルーン,暗い赤,5R 2.5/6,04_茶,dk2,501818,80,24,24,0,80,60,70,2級
01_赤,洋名,old rose,オールドローズ,やわらかい赤,1R 6/6.5,01_ピンク,sf2,C97E84,201,126,132,0,50,23,15,2級
01_赤,洋名,poppy red,ポピーレッド,あざやかな赤,4R 5/14,02_赤,v2,DD4952,221,73,82,0,85,60,0,2級
01_赤,洋名,salmon pink,サーモンピンク,やわらかい黄みの赤,8R 7.5/7.5,01_ピンク,lt4+,EEA489,238,164,137,0,40,40,0,3級
01_赤,洋名,scarlet,スカーレット,あざやかな黄みの赤,7R 5/14,02_赤,v3,DF5445,223,84,69,0,80,75,0,3級
01_赤,洋名,terracotta,テラコッタ,くすんだ黄みの赤,7.5R 4.5/8,02_赤,d4,A55E4F,165,94,79,0,57,52,30,2級
01_赤,洋名,vermilion,バーミリオン,あざやかな黄みの赤,6R 5.5/14,02_赤,v3,E15F48,225,95,72,0,75,75,0,3級
01_赤,洋名,wine red,ワインレッド,こい紫みの赤,10RP 3/9,02_赤,dp24,782B3A,120,43,58,0,80,36,50,3級
01_赤,和名,あかねいろ,茜色,こい赤,4R 3.5/11,02_赤,dp2,9D2932,157,41,50,0,90,70,30,3級
01_赤,和名,えびちゃ,海老茶,暗い黄みの赤,8R 3/4.5,02_赤,dk4,6A3931,106,57,49,0,60,50,60,2級
01_赤,和名,からくれない,韓紅花,あざやかな赤,1.5R 5.5/13,02_赤,v1(v2),DF5464,223,84,100,0,80,45,0,2級
01_赤,和名,こうばいいろ,紅梅色,やわらかい赤,2.5R 6.5/7.5,01_ピンク,lt2+(sf2),EA9395,234,147,149,0,48,25,0,3級
01_赤,和名,さくらいろ,桜色,ごくうすい紫みの赤,10RP 9/2.5,01_ピンク,p24+,FCEEEB,252,238,235,0,7,3,0,3級
01_赤,和名,さんごいろ,珊瑚色,明るい赤,2.5R 7/11,01_ピンク,b2,EDA098,237,160,152,0,42,28,0,3級
01_赤,和名,しゅいろ,朱色,あざやかな黄みの赤,6R 5.5/14,02_赤,v3,DD4827,221,72,39,0,85,100,0,3級
01_赤,和名,すおう,蘇芳,くすんだ赤,4R 4/7,02_赤,d2,833638,131,54,56,0,75,50,45,2級
01_赤,和名,ときいろ,鴇色,明るい紫みの赤,7RP 7.5/8,01_ピンク,lt24+,ECA5B2,236,165,178,0,40,10,0,2級
01_赤,和名,とびいろ,鳶色,暗い黄みの赤,7.5R 3.5/5,04_茶,dk4,723934,114,57,52,0,65,50,55,2級
01_赤,和名,べんがらいろ,弁柄色,暗い黄みの赤,8R 3.5/7,04_茶,dk4,732A1E,115,42,30,0,80,80,52,2級
02_黄赤,洋名,burnt sienna,バーントシェンナ,くすんだ黄赤,10R 4.5/7.5,04_茶,d4,984A36,152,74,54,0,67,70,35,2級
02_黄赤,洋名,chinese red,チャイニーズレッド,あざやかな黄赤,10R 6/15,02_赤,v4,E4724C,228,114,76,0,65,75,0,2級
02_黄赤,洋名,chocolate,チョコレート,ごく暗い黄赤,10R 2.5/2.5,04_茶,dkg4,4B251A,75,37,26,0,60,60,75,3級
02_黄赤,洋名,peach,ピーチ,明るい灰みの黄赤,3YR 8/3.5,03_オレンジ,p6+,F6CEAA,246,206,170,0,20,30,0,3級
02_黄赤,洋名,raw sienna,ローシェンナ,つよい黄赤,4YR 5/9,04_茶,dp6,C6723F,198,114,63,0,55,80,15,2級
02_黄赤,洋名,tan,タン,くすんだ黄赤,6YR 5/6,04_茶,d6,A86E42,168,110,66,0,45,70,30,2級
02_黄赤,和名,おうに,黄丹,つよい黄赤,10R 6/12,03_オレンジ,b4,E47353,228,115,83,0,65,70,0,2級
02_黄赤,和名,くりいろ,栗色,暗い灰みの黄赤,2YR 3.5/4,04_茶,dk4,5D2917,93,41,23,0,70,80,65,3級
02_黄赤,和名,こうじいろ,柑子色,明るい黄赤,5.5YR 7.5/9,03_オレンジ,lt6+(b6),EEA057,238,160,87,0,40,75,0,2級
02_黄赤,和名,たいしゃ,代赭,くすんだ黄赤,2.5YR 5/8.5,04_茶,d4,A14B2C,161,75,44,0,70,84,30,2級
02_黄赤,和名,ひわだいろ,檜皮色,暗い灰みの黄赤,1YR 4.3/4,02_赤,g4,7B4334,123,67,52,0,60,60,50,2級
02_黄赤,和名,れんがいろ,煉瓦色,暗い黄赤,10R 4/7,02_赤,dk4,9C4836,156,72,54,0,70,70,33,3級
03_黄,洋名,amber,アンバー,くすんだ赤みの黄,8YR 5.5/6.5,05_黄,d6,AA764F,170,118,79,0,40,60,30,2級
03_黄,洋名,beige,ベージュ,明るい灰みの赤みを帯びた黄,10YR 7/2.5,04_茶,ltg6,E3CEA4,227,206,164,0,10,30,10,3級
03_黄,洋名,blond,ブロンド,やわらかい黄,2Y 7.5/7,05_黄,sf8,EECF88,238,207,136,0,13,50,5,3級
03_黄,洋名,burnt umber,バーントアンバー,ごく暗い赤みの黄,10YR 3/3,04_茶,dkg6,654F38,101,79,56,0,30,50,65,2級
03_黄,洋名,canary yellow,カナリヤ,明るい緑みの黄,7Y 8.5/10,05_黄,v9,FFEF6E,255,239,110,0,2,70,0,3級
03_黄,洋名,cream yellow,クリームイエロー,ごくうすい黄,5Y 8.5/3.5,05_黄,p8+,FEEDB0,254,237,176,0,5,35,0,3級
03_黄,洋名,ecru beige,エクルベイジュ,うすい赤みの黄,7.5YR 8.5/4,04_茶,p6+,F2E0C1,242,224,193,0,8,20,4,2級
03_黄,洋名,golden yellow,ゴールデンイエロー,つよい赤みの黄,7.5YR 7/10,05_黄,b6,F0AA61,240,170,97,0,35,70,0,2級
